_id,PROVINCIE,BEVOEGD GEZAG NUMMER,INSTELLINGSCODE,VESTIGINGSCODE,VESTIGINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,STRAATNAAM CORRESPONDENTIEADRES,HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES,POSTCODE CORRESPONDENTIEADRES,PLAATSNAAM CORRESPONDENTIEADRES,NODAAL GEBIED CODE,NODAAL GEBIED NAAM,RPA-GEBIED CODE,RPA-GEBIED NAAM,WGR-GEBIED CODE,WGR-GEBIED NAAM,COROPGEBIED CODE,COROPGEBIED NAAM,ONDERWIJSGEBIED CODE,ONDERWIJSGEBIED NAAM,RMC-REGIO CODE,RMC-REGIO NAAM,VAKANTIEREGIO
783,Gelderland,24533,12WF,12WF00,Petraschool,Troelstrastraat,39,8072AL,NUNSPEET,0302,NUNSPEET,Protestants-Christelijk,0341253667,www.petraschool.net,Troelstrastraat,39,8072AL,NUNSPEET,28,Harderwijk,08,Noordwest-Veluwe,17,Noordwest-Veluwe,13,Veluwe,10,Harderwijk-Amersfoort,17,Noordwest-Veluwe,Midden
784,Gelderland,24533,13CC,13CC00,Basisschool De Morgenster,Frans Huismansstraat,20,8072HH,NUNSPEET,0302,NUNSPEET,Protestants-Christelijk,0341251221,www.morgenster.net,Frans Huismansstraat,20,8072HH,NUNSPEET,28,Harderwijk,08,Noordwest-Veluwe,17,Noordwest-Veluwe,13,Veluwe,10,Harderwijk-Amersfoort,17,Noordwest-Veluwe,Midden
785,Gelderland,24533,22JQ,22JQ00,De Bron,Koningin Julianastraat,25,8071LL,NUNSPEET,0302,NUNSPEET,Protestants-Christelijk,0341254769,www.debron-nunspeet.nl,Koningin Julianastraat,25,8071LL,NUNSPEET,28,Harderwijk,08,Noordwest-Veluwe,17,Noordwest-Veluwe,13,Veluwe,10,Harderwijk-Amersfoort,17,Noordwest-Veluwe,Midden
786,Gelderland,24715,03HY,03HY00,Christelijke Basisschool Eben Haezer,Lindelaan,15,4043MA,OPHEUSDEN,1740,NEDER-BETUWE,Reformatorisch,0488441457,www.basisschool.eh-opheusden.nl,Lindelaan,15,4043MA,OPHEUSDEN,31,Tiel,14,Rivierenland,15,Rivierenland,16,Zuidwest-Gelderland,11,Oostelijk Maas-Waalgebied,15,Rivierenland,Midden
787,Gelderland,24715,24FP,24FP00,Rehoboth,Patrijsstraat,1-A,4043MP,OPHEUSDEN,1740,NEDER-BETUWE,Reformatorisch,0488443009,www.rehoboth-opheusden.nl,Patrijsstraat,1-A,4043MP,OPHEUSDEN,31,Tiel,14,Rivierenland,15,Rivierenland,16,Zuidwest-Gelderland,11,Oostelijk Maas-Waalgebied,15,Rivierenland,Midden
788,Gelderland,24715,28CG,28CG00,Sebaschool,Het Katsland,4,4051KA,OCHTEN,1740,NEDER-BETUWE,Reformatorisch,0344644601,www.seba-rehobothschool.nl,Het Katsland,4,4051KA,OCHTEN,31,Tiel,14,Rivierenland,15,Rivierenland,16,Zuidwest-Gelderland,11,Oostelijk Maas-Waalgebied,15,Rivierenland,Midden
789,Gelderland,24715,32AN,32AN00,Basisschool De Bornput,Tollenhof,1,4041BH,KESTEREN,1740,NEDER-BETUWE,Reformatorisch,0488745425,,Tollenhof,1,4041BH,KESTEREN,31,Tiel,14,Rivierenland,15,Rivierenland,16,Zuidwest-Gelderland,11,Oostelijk Maas-Waalgebied,15,Rivierenland,Midden
790,Gelderland,25351,06WM,06WM00,Sint Jozef Basisschool,Past C M v Everdingenstr,24,7165AK,RIETMOLEN,1859,BERKELLAND,Rooms-Katholiek,0545221048,,Past C M v Everdingenstr,24,7165AK,RIETMOLEN,22,Enschede,12,Achterhoek,13,Oost-Gelderland,14,Achterhoek,06,Twente,13,Achterhoek,Midden
791,Gelderland,25351,07WG,07WG00,Bs De Sterrenboog,Mariaplein,8,7156MG,BELTRUM,1859,BERKELLAND,Rooms-Katholiek,0544481543,www.desterrenboog.nl,Mariaplein,8,7156MG,BELTRUM,22,Enschede,12,Achterhoek,13,Oost-Gelderland,14,Achterhoek,06,Twente,13,Achterhoek,Midden
792,Gelderland,25351,08YS,08YS00,Dr. Ariëns Daltonschool,Rutgerinkdijk,3,7161EW,NEEDE,1859,BERKELLAND,Rooms-Katholiek,0545295550,www.ariensneede.nl,Rutgerinkdijk,3,7161EW,NEEDE,22,Enschede,12,Achterhoek,13,Oost-Gelderland,14,Achterhoek,06,Twente,13,Achterhoek,Midden
